05/05/2024 14:38:12, add, high, 223126, Racelink 223126 average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], PITSPEED_ENDU, Generates alerts when racelink average speed of 5 second(s) is above 53 kph in areas [Pit Endurance], 6, [400]  Q-Team VDK Racing , , 
05/05/2024 14:59:09, update, high, 223244, Racelink 223244 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 5, [519]  Redele Eurodatacar , , 
05/05/2024 14:59:10, update, high, 223236, Racelink 223236 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 15, [463]  M3M , , 
05/05/2024 14:59:10, resolve, high, 222855, Racelink 222855 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2228 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 20, [509]  Sans aucun doute , , 
05/05/2024 14:59:11, add, high, 223279, Racelink 223279 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 4, [142]  Oufti Racing Team , , 
05/05/2024 14:59:11, update, high, 222933, Racelink 222933 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [493]  Jusi Racing , , 
05/05/2024 14:59:11, update, high, 223279, Racelink 223279 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 5, [142]  Oufti Racing Team , , 
05/05/2024 14:59:13, resolve, high, 222933, Racelink 222933 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2231 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [493]  Jusi Racing , , 
05/05/2024 14:59:16, resolve, high, 223236, Racelink 223236 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2234 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 15, [463]  M3M , , 
05/05/2024 14:59:17, resolve, high, 213185, Racelink 213185 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2235 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 7, [888]  SP Consulting by SRS , , 
05/05/2024 14:59:17, update, high, 223244, Racelink 223244 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [519]  Redele Eurodatacar , , 
05/05/2024 14:59:19, add, high, 222957, Racelink 222957 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 3, [433]  AUVERTEAM , , 
05/05/2024 14:59:19, add, high, 223210, Racelink 223210 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 21, [172]  LADC 172 , , 
05/05/2024 14:59:19, update, high, 223279, Racelink 223279 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [142]  Oufti Racing Team , , 
05/05/2024 14:59:24, add, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [423]  Orhes - Motul - Miti , , 
05/05/2024 14:59:24, add, high, 223260, Racelink 223260 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [531]  TFE by Zosh , , 
05/05/2024 14:59:25, update, high, 222957, Racelink 222957 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 4, [433]  AUVERTEAM , , 
05/05/2024 14:59:26, resolve, high, 223244, Racelink 223244 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2244 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [519]  Redele Eurodatacar , , 
05/05/2024 14:59:27, add, high, 223236, Racelink 223236 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 16, [463]  M3M , , 
05/05/2024 14:59:28, resolve, high, 223210, Racelink 223210 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2246 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 21, [172]  LADC 172 , , 
05/05/2024 14:59:29, add, high, 222888, Racelink 222888 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [472]  Petrolheads , , 
05/05/2024 14:59:29, add, high, 223126, Racelink 223126 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [400]  Q-Team VDK Racing , , 
05/05/2024 14:59:29, update, high, 223260, Racelink 223260 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [531]  TFE by Zosh , , 
05/05/2024 14:59:29, add, high, 222859, Racelink 222859 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [72]  Sound of Quattro , , 
05/05/2024 14:59:30, add, high, 223230, Racelink 223230 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [526]  GDL SPAIN , , 
05/05/2024 14:59:30, resolve, high, 222957, Racelink 222957 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2248 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 4, [433]  AUVERTEAM , , 
05/05/2024 14:59:30, add, high, 225605, Racelink 225605 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [79]  Spirit of Moby Dick by VFC , , 
05/05/2024 14:59:30, update, high, 223236, Racelink 223236 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 17, [463]  M3M , , 
05/05/2024 14:59:31, update, high, 222859, Racelink 222859 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [72]  Sound of Quattro , , 
05/05/2024 14:59:31, update, high, 222888, Racelink 222888 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [472]  Petrolheads , , 
05/05/2024 14:59:31, update, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [423]  Orhes - Motul - Miti , , 
05/05/2024 14:59:31, resolve, high, 223260, Racelink 223260 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2249 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [531]  TFE by Zosh , , 
05/05/2024 14:59:32, update, high, 223230, Racelink 223230 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [526]  GDL SPAIN , , 
05/05/2024 14:59:32, resolve, high, 223279, Racelink 223279 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2250 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [142]  Oufti Racing Team , , 
05/05/2024 14:59:33, resolve, high, 222888, Racelink 222888 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2251 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [472]  Petrolheads , , 
05/05/2024 14:59:33, resolve, high, 225605, Racelink 225605 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2251 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [79]  Spirit of Moby Dick by VFC , , 
05/05/2024 14:59:34, resolve, high, 223230, Racelink 223230 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2252 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [526]  GDL SPAIN , , 
05/05/2024 14:59:34, resolve, high, 222953, Racelink 222953 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2252 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [423]  Orhes - Motul - Miti , , 
05/05/2024 14:59:34, resolve, high, 222859, Racelink 222859 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2252 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [72]  Sound of Quattro , , 
05/05/2024 14:59:34, add, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [423]  Orhes - Motul - Miti , , 
05/05/2024 14:59:35, resolve, high, 223126, Racelink 223126 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2253 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [400]  Q-Team VDK Racing , , 
05/05/2024 14:59:35, resolve, high, 223236, Racelink 223236 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2253 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 17, [463]  M3M , , 
05/05/2024 14:59:36, resolve, high, 222953, Racelink 222953 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2254 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [423]  Orhes - Motul - Miti , , 
05/05/2024 14:59:42, add, high, 222957, Racelink 222957 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 4, [433]  AUVERTEAM , , 
05/05/2024 14:59:43, update, high, 222957, Racelink 222957 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 5, [433]  AUVERTEAM , , 
05/05/2024 14:59:48, add, high, 222897, Racelink 222897 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [316]  Currus Racing , , 
05/05/2024 14:59:49, add, high, 223260, Racelink 223260 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [531]  TFE by Zosh , , 
05/05/2024 14:59:51, add, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [423]  Orhes - Motul - Miti , , 
05/05/2024 14:59:51, resolve, high, 222897, Racelink 222897 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2269 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [316]  Currus Racing , , 
05/05/2024 14:59:51, add, high, 223236, Racelink 223236 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 18, [463]  M3M , , 
05/05/2024 14:59:51, update, high, 222957, Racelink 222957 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [433]  AUVERTEAM , , 
05/05/2024 14:59:52, update, high, 223236, Racelink 223236 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 19, [463]  M3M , , 
05/05/2024 14:59:56, add, high, 222909, Racelink 222909 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [260]  Mc Donalds Racing by Comtoyou , , 
05/05/2024 14:59:56, add, high, 225605, Racelink 225605 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [79]  Spirit of Moby Dick by VFC , , 
05/05/2024 14:59:57, add, high, 223126, Racelink 223126 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [400]  Q-Team VDK Racing , , 
05/05/2024 14:59:59, add, high, 225704, Racelink 225704 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [475]  Team SVS by Zosh , , 
05/05/2024 15:00:01, update, high, 223260, Racelink 223260 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [531]  TFE by Zosh , , 
05/05/2024 15:00:01, update, high, 222909, Racelink 222909 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [260]  Mc Donalds Racing by Comtoyou , , 
05/05/2024 15:00:01, resolve, high, 223260, Racelink 223260 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2279 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [531]  TFE by Zosh , , 
05/05/2024 15:00:01, update, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [423]  Orhes - Motul - Miti , , 
05/05/2024 15:00:02, update, high, 225704, Racelink 225704 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [475]  Team SVS by Zosh , , 
05/05/2024 15:00:02, resolve, high, 223236, Racelink 223236 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2280 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 19, [463]  M3M , , 
05/05/2024 15:00:02, resolve, high, 222953, Racelink 222953 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2280 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [423]  Orhes - Motul - Miti , , 
05/05/2024 15:00:03, resolve, high, 222957, Racelink 222957 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2281 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 6, [433]  AUVERTEAM , , 
05/05/2024 15:00:03, resolve, high, 222909, Racelink 222909 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2281 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [260]  Mc Donalds Racing by Comtoyou , , 
05/05/2024 15:00:04, resolve, high, 225704, Racelink 225704 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2282 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 11, [475]  Team SVS by Zosh , , 
05/05/2024 15:00:06, resolve, high, 225605, Racelink 225605 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2284 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [79]  Spirit of Moby Dick by VFC , , 
05/05/2024 15:00:07, resolve, high, 223126, Racelink 223126 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2285 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [400]  Q-Team VDK Racing , , 
05/05/2024 15:00:16, add, high, 224020, Racelink 224020 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [454]  Team TAHA , , 
05/05/2024 15:00:16, add, high, 225615, Racelink 225615 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [462]  Eurodatacar 462 , , 
05/05/2024 15:00:16, add, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [423]  Orhes - Motul - Miti , , 
05/05/2024 15:00:18, update, high, 222953, Racelink 222953 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 14, [423]  Orhes - Motul - Miti , , 
05/05/2024 15:00:19, add, high, 222909, Racelink 222909 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [260]  Mc Donalds Racing by Comtoyou , , 
05/05/2024 15:00:19, resolve, high, 224020, Racelink 224020 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2297 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [454]  Team TAHA , , 
05/05/2024 15:00:20, add, high, 223260, Racelink 223260 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 14, [531]  TFE by Zosh , , 
05/05/2024 15:00:20, resolve, high, 225615, Racelink 225615 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2298 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [462]  Eurodatacar 462 , , 
05/05/2024 15:00:20, resolve, high, 222953, Racelink 222953 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2298 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 14, [423]  Orhes - Motul - Miti , , 
05/05/2024 15:00:21, add, high, 223282, Racelink 223282 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [482]  No Limit Racing , , 
05/05/2024 15:00:21, add, high, 223067, Racelink 223067 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [468]  No Limit Racing , , 
05/05/2024 15:00:23, update, high, 223067, Racelink 223067 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [468]  No Limit Racing , , 
05/05/2024 15:00:23, update, high, 223282, Racelink 223282 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [482]  No Limit Racing , , 
05/05/2024 15:00:24, resolve, high, 223282, Racelink 223282 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2302 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [482]  No Limit Racing , , 
05/05/2024 15:00:25, resolve, high, 223067, Racelink 223067 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2303 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [468]  No Limit Racing , , 
05/05/2024 15:00:27, add, high, 225704, Racelink 225704 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [475]  Team SVS by Zosh , , 
05/05/2024 15:00:28, resolve, high, 223260, Racelink 223260 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2306 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 14, [531]  TFE by Zosh , , 
05/05/2024 15:00:30, add, high, 225476, Racelink 225476 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [495]  Orthes systemic , , 
05/05/2024 15:00:31, resolve, high, 222909, Racelink 222909 average speed of 10 second(s) is no longer above 88 kph during full course flags [11] after 10 second(s) grace period Total violation time: 2309 seconds., FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [260]  Mc Donalds Racing by Comtoyou , , 
05/05/2024 15:00:32, add, high, 222898, Racelink 222898 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 12, [38]  JAPP by AC Motorsport , , 
05/05/2024 15:00:32, add, low, 222916, Racelink 222916 average speed of 5 second(s) is above 30 kph in areas [Pit Essence], ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [219]  CG Racing , , 
05/05/2024 15:00:33, add, high, 223236, Racelink 223236 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 21, [463]  M3M , , 
05/05/2024 15:00:34, update, high, 225704, Racelink 225704 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [475]  Team SVS by Zosh , , 
05/05/2024 15:00:35, resolve, low, 222916, Racelink 222916 average speed of 5 second(s) is no longer above 30 kph in areas [Pit Essence] Total violation time: 2313 seconds., ESSSPEED, Generates alerts when racelink average speed of 5 second(s) is above 30 kph in areas [Pit Essence], 7, [219]  CG Racing , , 
05/05/2024 15:00:35, update, high, 225476, Racelink 225476 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [495]  Orthes systemic , , 
05/05/2024 15:00:36, update, high, 222898, Racelink 222898 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 13, [38]  JAPP by AC Motorsport , , 
05/05/2024 15:00:36, add, high, 223279, Racelink 223279 average speed of 10 second(s) is above 88 kph during full course flags [11] after 10 second(s) grace period, FCY, Generates alerts when racelink average speed of 10 second(s) is above 88 kph except when full course flags [11] set with grace period of 10 second(s), 10, [142]  Oufti Racing Team , , 
